,ru,en,zh,es,pt,pt_BR,de,ja,fr,ko,pl,tr,uk,it
#tab_projects,Проекты,Projects,项目,Proyectos,Projectos,Projetos,Forschungsprojekte,プロジェクト,Projets,프로젝트,Projekt,Projeler,Проект,Progetti
#tab_versions,Версии,Versions,版本,Versiones,Versões,Versões,Sprachversionen,バージョン,Versions,버전,Wersja,Sürümler,Версія,Versioni
#msg_add_or_create,"Добавьте проект с диска или создайте его,
запустив Godot Engine","Add a project from disk or create one
by launching Godot Engine","从磁盘添加项目或通过
启动 Godot Engine 来创建项目","Agregue un proyecto desde el disco o cree uno
lanzando Godot Engine","Adicionar um projeto a partir do disco ou criar um
ao lançar o motor Godot","Adicione um projeto do disco ou crie um
ao lançar o Godot Engine","Fügen Sie ein Projekt von der Festplatte hinzu oder erstellen Sie eines
durch den Start von Godot Engine","ディスクからプロジェクトを追加するか、プロジェクトを作成します
Godotエンジンを搭載した","Ajouter un projet à partir du disque ou en créer un
en lançant le moteur Godot","얀덱스에서 프로젝트를 추가합니다.디스크 또는 생성
고도트 엔진을 실행함으로써","Dodaj projekt z dysku lub utwórz go,
uruchomienie Godot Engine",Diskten bir proje ekleyin veya Godot Engine'i başlatarak bir proje oluşturun,"Додайте проект з диска або створіть його,
запустивши Godot Engine","Aggiungi un progetto dal disco o creane uno,
avvio di Godot Engine"
#btn_add_from_disk,Добавить проект с диска,Add project from disk,从磁盘添加项目,Agregar proyecto desde el disco,Adicionar projeto do disco,Adicionar projeto do disco,Projekt von der Festplatte hinzufügen,ディスクからプロジェクトを追加する,Ajouter un projet à partir du disque,프로젝트를 추가합니다.디스크,Dodaj projekt z dysku,Diskten bir proje ekleyin,Додати проект з диска,Aggiungi progetto dal disco
#msg_footer_credits,Создано HorityFox для сообщества Godot Engine,Develop by HorityFox for the Godot Engine community,由 HorityFox 为 Godot Engine 社区创作,Desarrollado por HorityFox para la comunidad de Godot Engine,Desenvolvido pela HorityFox para a comunidade Godot Engine,Desenvolvido por HorityFox para a comunidade Godot Engine,Entwickelt von HorityFox für die Godot Engine Community,GodotエンジンコミュニティのためにHorityFoxによって開発,Développé par HorityFox pour la communauté des moteurs Godot,고도트 엔진 커뮤니티를 위해 호리티폭스가 만들었습니다.,Stworzone przez HorityFox dla społeczności Godot Engine,HorityFox tarafından Godot Engine topluluğu için oluşturulmuştur,Створено HorityFox для спільноти Godot Engine,Creato da HorityFox per la community di Godot Engine
#msg_download_engine,Загрузите новую версию Godot Engine,Download a new version of Godot Engine,下载新版本的 Godot Engine,Descargue una nueva versión de Godot Engine,Baixe uma nova versão do Godot Engine,Baixe uma nova versão do Godot Engine,Laden Sie eine neue Version der Godot-Engine herunter,Godot Engineの新しいバージョンをダウンロードする,Téléchargez une nouvelle version du moteur Godot,새로운 버전의 고도 엔진 다운로드,Pobierz nową wersję Godot Engine,Godot Engine'in yeni sürümünü indirin,Завантажте нову версію Godot Engine,Scarica la nuova versione di Godot Engine
#btn_download_engine,Загрузить новую версию,Download new version,下载新版本,Descargar nueva versión,Baixar nova versão,Baixar nova versão,Neue Version herunterladen,新しいバージョンをダウンロード,Télécharger la nouvelle version,새 버전 다운로드,Pobierz nową wersję,Yeni sürümü indirin,Завантажити нову версію,Scarica la nuova versione
#btn_import_projects,Импорт проектов,Import projects,导入项目,Proyectos de importación,Importar projectos,Importar projetos,Projekte importieren,プロジェクトのインポート,Importer des projets,프로젝트 가져오기,Import projektów,Projeleri içe aktar,Імпорт проектів,Importazione di progetti
#btn_close,Закрыть,Close,关闭,Cerrar,Fechar,Fechar,Schließen,閉じる,Fermer,닫기,Zamknąć,Kapat,Заплющити,Chiudere
#btn_scan,Сканировать,Scan,扫描,Escanear,Scan,Scan,Scan,スキャン,Balayage,스캔,Skanować,Tarayın,Сканувати,Scansionare
